stimulus_name,result,reaction_time,condition,content,upside_down,pres_time
lamp,correct,5.8837080001831055,1,object,False,1
pig,correct,0.4621250629425049,1,animal,False,1
chicken,incorrect,0.2025611400604248,1,animal,False,1
lamp,incorrect,0.3453688621520996,1,object,False,2
fan,correct,0.19497203826904297,1,object,False,1
bird,correct,0.3201460838317871,1,animal,False,1
chair,correct,0.19304895401000977,1,object,False,1
zebra,correct,0.2528359889984131,1,animal,False,1
bird,incorrect,0.16585493087768555,1,animal,False,2
rabbit,correct,0.17396306991577148,1,animal,False,1
chicken,incorrect,0.10830807685852051,1,animal,False,2
pig,correct,0.1078948974609375,1,animal,False,2
pillow,correct,0.08664608001708984,1,object,False,1
sunglasses,incorrect,0.18497204780578613,1,object,False,1
zebra,incorrect,0.07626986503601074,1,animal,False,2
pillow,incorrect,0.11493611335754395,1,object,False,2
chair,correct,0.10473299026489258,1,object,False,2
fan,incorrect,0.17446017265319824,1,object,False,2
sunglasses,correct,0.08347487449645996,1,object,False,2
rabbit,correct,0.15080618858337402,1,animal,False,2
bird,incorrect,0.5129988193511963,2,animal,False,1
zebra,correct,0.050978899002075195,2,animal,False,1
pig,incorrect,0.1495521068572998,2,animal,False,1
pillow,incorrect,0.10352802276611328,2,object,False,1
pillow,correct,0.13498520851135254,2,object,False,2
pig,correct,0.13528895378112793,2,animal,False,2
sunglasses,correct,3.498779058456421,2,object,False,1
chair,correct,0.8985118865966797,2,object,False,1
chair,correct,0.57871413230896,2,object,False,2
rabbit,correct,0.6956338882446289,2,animal,False,1
zebra,correct,0.7814760208129883,2,animal,False,2
fan,correct,0.6880159378051758,2,object,False,1
chicken,correct,0.6341400146484375,2,animal,False,1
lamp,incorrect,2.702202081680298,2,object,False,1
bird,correct,0.7981631755828857,2,animal,False,2
fan,correct,0.3277270793914795,2,object,False,2
chicken,correct,0.30940794944763184,2,animal,False,2
lamp,correct,0.2961080074310303,2,object,False,2
rabbit,correct,0.37142205238342285,2,animal,False,2
sunglasses,correct,0.19974684715270996,2,object,False,2
zebra,correct,1.1808271408081055,3,animal,False,1
rabbit,correct,0.4731590747833252,3,animal,True,1
bird,correct,0.4121971130371094,3,animal,False,1
chair,incorrect,0.3386249542236328,3,object,True,1
lamp,correct,0.4057598114013672,3,object,True,1
chicken,incorrect,0.46867990493774414,3,animal,False,1
pillow,incorrect,0.44297289848327637,3,object,False,1
pig,correct,0.6184968948364258,3,animal,True,1
fan,correct,0.3913149833679199,3,object,True,1
sunglasses,correct,0.5949840545654297,3,object,False,1
